ID,Source_File,Newspaper,Date,Length,Author,Headline,Newspapertype,Trimmed_Article,relevance
607,src_thesun_raw.docx,The Sun,18/9/2015,361 words,NA,Germany's hard lesson on migrants,Tabloid,"£50 LETTER GERMANY has brought back border controls against refugees and the eastern countries in the EU, such as Hungary and Slovakia, are resisting quotas for accepting migrants. The European single market has been hijacked by politicians who don't care if individual countries lose their identities, so it is now good to see resistance to this madness. The EU and our political class are obsessed with ""free movement"". Only by voting to leave the EU can we defend the UK we love in the long term. RICHARD MCCAULEY Hornsey, North London GERMANY opened its borders to all and sundry, while stating that Britain should take in more migrants. Now it has now had no option but to put the barriers up due to the influx, which was much higher than German leader Andrea Merkel, pictured, anticipated. It was obvious that, the easier it was for these people to get into Europe, the more would arrive. SANDRA QUEEN Church Langley, Essex SO Angela Merkel wakes up to the fact that welcoming all these alleged Syrian refugees might also be allowing IS infiltrators into Europe. Our Prime Minister David Cameron should now insist we regain full control of our borders too. BARRY HARBERT Shanklin, Isle of Wight GIVEN the mass numbers of migrants piling into Europe, you didn't need to be that smart to realise that limits on the numbers would be reimposed - and that the open-border policy would be a thing of the past, sadly. All over Europe it seems the checks on border numbers have had to be brought in. JACK AMER Gorleston, Norfolk THE only reason migrants head for Europe is that they can go to their country of choice once they are inside the EU. But now Germany has closed its borders. Hallelujah! If all EU countries do the same, and we drop the open-border policy, it will stem the migrant flow at a stroke. ROB BETTISON Mansfield, Notts I AM saddened to see the plight of the refugees from Syria. To have to flee the country for fear of death is something I can't imagine. Then, when they think they are safe, they are treated with contempt. Europe is struggling to cope. But this is not a problem it should be trying to manage alone. Where is the US, Canada and Australia? CYRIL FRANKLIN",1
609,src_thesun_raw.docx,The Sun,7/9/2015,331 words,NA,Tragic Aylan photo sums up the crisis,Tabloid,"£50 LETTER THANK you from the bottom of my heart for The Sun's For Aylan campaign to raise money for all those unaccompanied children in refugee camps - and get foster homes for orphans in the UK. The plight of the refugee children - such as little Syrian boy Aylan Kurdi, washed up on a Turkish beach - is extremely upsetting and I hate to think of these poor kids trying to fend for themselves in these camps. We do also need more foster parents in the UK - at least until they are 18, when they are better equipped to make it in the world. DANNY ROBERTS By email EVERY now and again The Sun newspaper has a photo on its front page that speaks more than a thousand words. Thursday was such a day. That photo of tragic Aylan Kurdi has stopped the nation in its tracks. Look at the front page again. This is what the refugee crisis is all about. The European Union is showing its true colours - divided, confused and blaming one another over a single issue. JOHN SHARPLES By email ONCE again, British people will dig deep in their generosity, to come to the aid of those child refugees from Syria. But please, politicians, don't use this tragedy to seek favour in the public eye. ALF FELL By email HE still had his shoes on. Carried gently away from the sea that had killed him. Did the sea kill him? Did we kill him with a shrug of our shoulders - not our problem? Like it or not, it is our problem. I don't know how we can solve it, but solve it we must. MARJORIE LOFTUS By email UKIP MP Douglas Carswell, pictured, is certainly saying the right thing by suggesting Peter Bucklitsch should be ""slung out of the party"". Bucklitsch's comments that Aylan Kurdi's parents were ""greedy for the good life in Europe"" were insensitive in the extreme. JACK AMER By email THE EU should pay a safe country like Turkey to take all the Syrian refugees, young Syrian men could be given paid work to build homes and schools for their own people. That way refugees would not have to come to Europe. VAL REED Glasgow",1
613,src_thesun_raw.docx,The Sun,21/10/2016,402 words,SC,NEW RELEASES,Tabloid,LEONARD COHEN You Want It Darker WHEN he hit 80 Cohen vowed to return to his guilty pleasure smoking Judging by the photo on his third studio album in five years he stayed true to his word The great musician poet now 82 is not going gently into that good night instead addressing mortality head-on with such dark thoughts as expressed in the title track The voice is a low measured growl but airy production by Cohen's son Adam and continued use of silky backing singers makes a compelling listening experience Cohen knows his time on earth is running out and these songs prove he makes the most of every minute SC DAVID CROSBY Lighthouse CROSBY'S storied career has involved stints in The Byrds and various combinations featuring Stills Nash and Young But what happens if you strip away his esteemed brothers in music This follow-up to 2014 s Croz is even more intimate and soulsearching underpinned by the 74-year-old's fluid guitar He starts as he means to go on with Things We Do For Love not the 10cc song written for wife Jan but there's still room for contemporary concerns with Look In Their Eyes about Syrian refugees And THAT voice which graces so many sublime harmonies touches the heart by itself SC JOSIENNE CLARKE BEN WALKER Overnight BRITAIN has long been blessed with fine female folk singers Sandy Denny Shirley Collins Anne Briggs Maddy Prior June Tabor among them Hearing Clarke's debut album with guitarist Walker you sense the arrival of a singer who deserves to be mentioned in such hallowed company The pair present an intoxicating mix of originals and covers including Gillian Welch's Dark Turn Of Mind and the songs are by turn bleak serene and moving They summon the spirit of times past but showcase,0
614,src_thesun_raw.docx,The Sun,8/10/2015,132 words,KRISSY STORRAR,Celtic in £30k aid to Syrian refugees,Tabloid,"CELTIC fans helped raise over £30,000 for victims of the refugee crisis after the club donated cash from Euro ticket sales. Parkhead chiefs collected a euro from every brief sold for last week's Europa League match against Fenerbahce. They then passed on £30,445.67 to the European Club Association campaign to aid those fleeing war-torn Syria. Chief executive Peter Lawwell said they'd pledged their support as Celtic had been founded to ""help people in need."" He said: ""For many weeks now, we have watched in horror as this crisis has developed. ""Clearly, we aren't able to comprehend what these people are going through but we felt compelled to help."" Midfielder Stuart Armstrong added: ""It is fantastic that Celtic and our fans have joined forces in this way. We hope this will be of some support."" Graphic   Support ... Lawwell",0
621,src_thesun_raw.docx,The Sun,31/12/2015,682 words,NA,A year is a long time in politics; VICTORY FOR NIC & CLASS OF 2015,Tabloid,"MAJOR political events have gripped Scotland for the past two years We had the indy referendum in 2014 then the SNP bounced back in 2015 to grab 56 of the country's 59 Westminster seats With Holyrood elections in May 2016 is shaping up as another firecracker year Today we look back at a rollercoaster last 12 months and forward to the next 12 THE new year begins with Jim Murphy in his first weeks as Scottish Labour leader and an A E waiting times crisis unfolding in hospitals Wards across Scotland are well below a target of 98 per cent of patients to be seen within four hours The figures are at their worst level since the SNP came to power NICOLA Sturgeon three months into job as First Minister reveals her new education policy the Scottish Attainment Challenge It pledges £ 100million for pupils from most deprived areas The move follows criticism from rivals the number of poorer kids going to university has barely budged in recent years despite free tuition fees THE SNP's membership passes 100,000 times the level before September 2014 s indy referendum A series of opinion polls predict meltdown for Ed Miliband's Labour Party in Scotland at May's General Election Meanwhile the Nats unveil plans at Holyrood to crack down on so-called revenge porn and tackle violence against women THE First Minister bursts on to the UK stage during the General Election campaign TV debates Opinion polls make Ms Sturgeon the only political leader more liked than disliked by Brits But back at Holyrood there are worrying drops in reading performance for Scots school pupils THE General Election sees the SNP all but sweep the board in Scotland winning 56 of 59 seats including the UK's youngest MP Mhairi Black The Nats are up from",0
634,src_thesun_raw.docx,The Sun,18/10/2015,393 words,GRAEME CULLIFORD; BEN GRIFFITHS;MATHEUS SANCHEZ,CORBYN'S NIECE IN HOMELESS SHELTER; EXCLUSIVE: JEZ FAMILY TURMOIL ; 5 miles from his house,Tabloid,"JEREMY Corbyn's niece is living in a homeless shelter less than five miles from the Labour leader's home Jasmin Alvarez 22 became estranged from her family after falling foul of local gangs Her mum Marcela who now lives in her home country of Mexico said I am worried about her Marcela is the sister of Mr Corbyn's wife Laura The couple met only because of Jasmin's troubled past She was brought up in Mexico but was abducted aged seven by her father Edgardo on a trip to London in 1999 Marcela contacted Islington MP Mr Corbyn who played a key role in bringing Jasmin to Britain after a fouryear manhunt traced her to Utah US During the search human rights lawyer Laura arrived in London and was introduced to Mr Corbyn by his mentor Tony Benn Mr Corbyn now 66 married Laura 20 years his junior in 2012 She is running a business selling organic coffee beans Meanwhile Marcela brought up Jasmin in Homerton East London Neighbours said police visited their house often because of gang activity Jasmin was a lovely girl but went off the rails A family friend said Jasmin was a lovely girl but as a teenager she went off the rails Her mum just could not deal with it any more Marcela and Jasmin left for Mexico City five years ago But Jasmin returned to the UK and for a while lived with Mr Corbyn and Laura Jasmin declined to comment on why she was no longer staying in their house worth an estimated £ 600,000 The aspiring actress has been at the shelter in East London for a year In a BBC interview last year to promote a theatre company helping youngsters who have been in care she admitted My life hasn't been easy It's",0
640,src_thesun_raw.docx,The Sun,19/9/2015,477 words,PAUL JIGGINS,WEEK AT THE KNEES; PAUL JIGGINS TAKES NO PRISONERS IN THE WORLD OF SPORT,Tabloid,TODAY ARSENAL announce Jack Wilshere will be out for another two weeks THERE is more trouble for Arsene Wenger as a worldfamous TV illusionist manages to steal his watch from his wrist and his wallet from his pocket without him noticing Not the first time the Gunners boss has been mugged by a Dynamo this week Unsurprisingly Wenger concedes I didn't see a thing TOMORROW ARSENAL announce Jack Wilshere below will be out for another three weeks FORMULA ONE hero Lewis Hamilton has trouble with a hairpin at the Singapore Grand Prix though not as much trouble as he had with the hair dye AT the Rugby World Cup holders New Zealand spring a surprise by fielding a team full of Mods The All Blacks stun opponents Argentina before the game by performing a Parka MONDAY l ARSENAL announce Jack Wilshere will be out for another four weeks MIKE ASHLEY is a hit as he appears on the new series of Celebrity Mastermind He excels in the general knowledge round as when asked to name three locations with Newcastle in the title he answers Newcastle-Upon-Tyne Newcastle-Under-Lyme and Newcastle-Under-The-Whole-Of-The-Premier-League TUESDAY ARSENAL announce Jack Wilshere will be out for another five weeks l LIVERPOOL boss Brendan Rodgers says he fully supports Syrian refugees as he will also struggle to get into Europe this season WEDNESDAY ARSENAL announce Jack Wilshere will be out for another six weeks l IN one of his first interviews since arriving in London Gabriel is asked how it feels to play for Arsenal Corbyn He replies Dreams can come true Gunners chiefs then realise they may have signed the wrong Gabrielle although the gammy eye may explain for the poor positioning and distribution l QPR stars nickname team-mate Charlie Austin The BBC because they like all of us,0
652,src_thesun_raw.docx,The Sun,20/9/2015,586 words,NEIL COTTER,MAC THE KNIFE; FAST FOOD FIGHT ; Supermac's boss lashes their rival McDonald's,Tabloid,THE owner of Supermac's has stuck the knife into McDonald's accusing the firm of failing Syrian refugees by avoiding taxes It's the latest swipe in the ongoing beef between the two fast food companies at war since the US behemoth tried to block its Irish rival from using its own brand name across Europe McDonald's is being probed by the European Parliament's TAXE Committee over its alleged failure to pay EURO 1billion in EU taxes on revenues of EURO 3.7bn over the years 2009-13 Tax avoidance is a legal means of reducing a company's tax burden But Supermac's supremo Pat McDonagh whose efforts to expand abroad are being held up by McDonald's reckons their decision to use a complex tax avoidance structure is affecting the ability of member states to handle the escalating migrant crisis He said This has incredibly serious implications on many levels It is members of the general public ordinary PAYE taxpayers who pay the price Small and medium enterprises can't be allowed carry the whole burden of taxation We are especially aware here in Ireland that during the global recession severe cutbacks made to essential services such as health care and education impacted in some way on the majority of Irish citizens Had McDonald's been paying the level of taxes to the exchequer in each of the EU countries in question perhaps some public service cutbacks could have been reduced If we now look at the migration crisis the EU is facing and the commitments made to refugees haps some public service cutbacks could have been reduced If we now look at the migration crisis the EU is facing and the commitments made to refugees who wish to enter the EU these taxes would be vital assistance to t spective makes sense from a business perspective,0
658,src_thesun_raw.docx,The Sun,28/4/2016,638 words,NA,Being 'In' EU hasn't helped axed workers,Tabloid,"£50 LETTER THE ""In"" campaign keeps shouting about job losses if we leave the European Union. Well, we are in the EU at the moment and have seen 40,000 steel jobs on the line - and nothing yet achieved to save them. BHS has gone into administration, with 11,000 jobs at risk. So has menswear retailer Austin Reed, with 1,200 jobs in jeopardy. This is only the tip of the iceberg. Mr Cameron, do you want to run this past me again about job losses if we leave the EU? EDDIE MARRIS Doncaster, South Yorks WE are told by the American president the UK must stay in the European Union. Otherwise, we will become second-class citizens. As our friend, Mr Obama, will America please take in a few thousand more Syrian refugees? Or maybe a few thousand Iraq refugees? After all, the alliance between America and Great Britain caused all that upheaval in Iraq by looking for weapons of mass destruction. WILLIAM DURHAM Highams Park, E London THERESA MAY got it right when she said the UK should leave the European Convention on Human Rights. Foreign criminals and extremists hide behind the Convention to avoid deportation, making our country a laughing stock. It is something she and the PM should have done something about years ago. DARRAN CLARKE Manchester ALL David Cameron brought back from his renegotiations with Europe were the crumbs from his lunch. Home Secretary Theresa May has now admitted free movement makes it harder to stop immigration. Now we know the only way to control mass migration is to leave the European Union. JOHN CROSS Birmingham HILLARY CLINTON says she wants in Europe for our strong voice. Mr Cameron showed us just how strong that voice is when he tried reform some terms recently. He was told by the boys of Brussels: ""Take what we've given you, now hop it."" A strong voice? More like a whimper. Mrs Clinton, wise up. PETE HOARE Abingdon, Oxon SADLY another iconic British store hits the skids, yet I feel we are all partly to blame, favouring cheaper high street stores such as Primark and Peacocks. Everyone likes a bargain but it always going to be at a cost to the company. Now with the living wage brought in, companies will have to find the cost of this. The employee will bear the brunt this cost, losing many small but appreciated staff perks. HELEN REGAN Cardiff ON the same day that 11,000 employees of BHS are told they may lose their jobs, junior doctors come out on strike because they don't want to work Saturdays. Unbelievable! DAVID STONE Woking, Surrey WHAT has it come to when young doctors have to strike? They work and study for years and they should be valued. If ever anyone has had the unfortunate need to have a stay in hospital they know how hard our doctors work, be it junior or senior. This strike action could so be avoided. DEAN JOHNSON Northiam, East Sussex email, fax, write or comment online We pay £50 for our Star Letter of the day: Email letters@the-sun.co.uk Fax us on 020 7782 4170 or write to Dear Sun, The Sun, 1 London Bridge Street, London, SE1 9GF. Include your full name and address. You can share your views at www.thesun.co.uk TXT US ON 07537 410199 Don't forget to include your name. Standard text rates from your provider apply IF BRITAIN votes to leave, the EU will fall apart. If we vote to stay in, the EU will fall apart - the only difference being it will just take another ten years and billions more of our money. IWAN WILLIAMS, North Wales WILL the car manufacturers found fiddling emission figures now be made to repay all lost revenue on zero tax vehicles on the road? STEVE LANG, Wales THERESA MAY says we have control of our borders - so how have so many rapists, murderers and illegal immigrants got into our country? JAMES PERCY, London A RISE of 13 per cent is enough for junior doctors. Nurses, midwives and others don't get that at weekends. Why should they? SANDRA, Thanet, Kent",0
672,src_thesun_raw.docx,The Sun,28/12/2015,678 words,Martin Geissler,If 2015 was a movie...,Tabloid,"WELL, that was quite a year, wasn't it? I've just had a flick through my old notepads, reminding myself what I've been up to over the past twelve months. In the most part, they read like the script of some awful disaster movie. But there was the occasional ray of sunshine to break up all the gloom. For me, 2015 began in the ebola camps of Sierra Leone. Remember ebola? The virus we feared might wipe us all out, and struck down Scots nurse Pauline Cafferkey, below. Well, the epidemic did claim a dreadful number of lives. But it also taught us that with cool heads, a bit of education and only the basic medical care, even the nastiest of diseases can be contained. Keeping a lid on Vladimir Putin, by contrast, proved more of a challenge. In February I found myself on the wrong end of Russian shelling in Ukraine. That nasty little conflict has dropped from the headlines over 2015. It's Europe's forgotten war. I reckon it'll flare up again next year. But more about my predictions later. Back at home, May saw perhaps the most astonishing general election in living memory. Labour got whacked on both sides of the border, as did the pollsters. Just think, twelve months ago people were predicting Ed Miliband would be running the country just now. Jeremy Corbyn was just a wild eyed loner on the back benches (as opposed to being a wild eyed loner on the front benches), and even Nicola Sturgeon wouldn't have dared to dream of a virtual wipeout of the Scottish constituencies. It's been champagne ever since for the SNP, of course, while Scottish Labour's year would be better summed up by an empty bottle of whisky and a stinking hangover. This year's election was remarkable in many ways, not least because it was one of the few big stories of 2015 that wasn't, somehow, linked to ISIS. We'd barely heard of that group of lunatics eighteen months ago, now the whole world knows their name. Well, actually, it can't decide what they're called, but that's an argument for another day. They've inspired murder on the streets of Paris, killed tourists on the beaches of Tunisia, brought down a passenger jet over Sharm El Sheikh. In fact, more broadly speaking, they've changed the whole of Europe, perhaps forever. The image that will live with me longer than any other from the past twelve months was the terror in the eyes of Syrian refugees as they spilled out of boats onto the beaches of Lesbos. Even in the dead of night they braved rough seas in flimsy inflatables to reach a continent they thought would offer safety. Standing there as they landed, it was terrifying to watch. Migrants, refugees, call them what you like. A million of them came to Europe this year, many escaping the clutches of the so called Islamic State. It's a complicated business and it stirs up a lot of emotions. Europe is still suffering the after-effects of a crippling financial crisis after all and goodwill is in short supply. The new arrivals are being painted as a drain on resources by some and a security threat by others. To be honest, I'm not sure they care. Anything's better than being back in Syria. But for a lesson in proper, weapons-grade xenophobia, we need only look across the pond. I arrived in the United States a couple of days after the San Bernardino shootings and spent the next fortnight chas-ing Donald Trump across the country. It was exhausting, entertaining and illuminating at the same time. I learned a lot about the USA on that trip. And you know what, it's learning a lot about itself just now, too. Next year's presidential elections are a big moment, not just for America, but for all of us. So, there we are, 2015. A right old barrel of laughs, eh? Still, ""don't have nightmares"" as Nick Ross used to say. And just remember, the good stuff rarely makes the headlines. As well as looking back, this is a good time of year to look forward, to imagine what the coming twelve months may have in store. Whatever your plans for Hogmanay, have a great evening and a happy new year. May 2016 bring us all health, wealth and - most importantly - happiness. Labour got whacked",0
674,src_thesun_raw.docx,The Sun,22/10/2015,694 words,NICK PISA;DAVID WILLETTS,ON BRIT SOIL; IMMIGRANTS ROW AS BOATS LAND AT RAF BASE,Tabloid,"A ROW broke out last night over who should care for the 114 immigrants who landed illegally at a British base on Cyprus yesterday Two leaking fishing vessels brought alleged refugees from war-torn Syria to RAF Akrotiri in the south of the island They were the first to arrive directly on British sovereign soil this year raising fears the base was targeted as a back door into the UK The immigrants arrived illegally because they had no legal status to be there But once they claimed refuge their case could be assessed and they were allowed to stay temporarily Last night there appeared to be confusion over who is now responsible for 67 men 19 women and 28 children Britain or Cyprus A statement from the Ministry of Defence had said it was up to Cyprus to take care of them But the UN refugee agency claimed that Britain was responsible Emilia Strovolidou of the UNHCR on Cyprus said There is an understanding that if people arrive directly on to a sovereign base area they are the responsibility of the UK She added There are high-level meetings going on with the base and the Cyprus government But the MoD maintained that the group were Cyprus responsibility A spokesman said The policy is very clear if they claim asylum then they will be handed over to Cyprus Aid officials believe the refugees hoped to claim asylum in Britain via the base which is home to jets bombing IS fighters.They are suspected of trying a new route to the UK after seeing the chaos that unfolded in Europe this summer with more than 700,000 arriving Last night the group who were in good condition were being kept in a hangar on the base Syrian Ali Nowfal 23 said he wanted to go",1
675,src_thesun_raw.docx,The Sun,5/9/2015,628 words,TOM NEWTON,Bomb I.S. so Aylan didn't die in vain; CALL TO ARMS AS REFUGEE CRISIS GROWS ; MP AND WAR HERO SAYS JOHNNY MERCER,Tabloid,BRITAIN must step up its military assault on IS so drowned toddler Aylan Kurdi did not die in vain an MP says today Former Afghan war hero Johnny Mercer asks David Cameron for a gear change in aggression towards the cowards The Tory insists IS can be destroyed by a Special Forces campaign and urges Brits to remember how they felt at seeing the tragic photos of Syrian lad Aylan three Mr Cameron pledged another £ 100million aid to Syrian refugees yesterday taking UK contribution to more than £ 1billion That dwarfs Germany's £ 633million France's £ 70million and destroys EU leaders claims we are not doing enough Britain will also take in thousands more refugees from camps on Syria's borders the PM said Writing for The Sun Mr Mercer says 6 THE image of Aylan Kurdi brought a visceral reality to many The truth is that scene has been enacted hundreds if not thousands of times over the last five years but there was not a camera to capture it My wife could not bear the image The child lay lifeless in the surf in the precise body position that my twoyear-old daughter sleeps when I check on her at night What the Prime Minister outlined at the start of the refugee crisis is precisely right a comprehensive solution in which one factor alone cannot bring success And we should be proud of what the Conservative Party has contributed to this effort Military action in Iraq that the PM attempted to get Commons clearance for Syria too but was thwarted by a two-faced Ed Miliband and a weak-willed Labour Party I will be proud when the UK takes more refugees But that must be just the start We must now see a change in the debate an uptick in,1
679,src_thesun_raw.docx,The Sun,11/6/2016,1103 words,CHERRY WILSON,Tragedy of the baroness obsessed with punishing 'pervert' she blamed for her daughter's suicide; S'SEX ABUSE' SCANDAL THAT ROCKED HIGH SOCIETY,Tabloid,"By CHERRY WILSON ""A PENSIONER who was struck by a bus in Oxford Street has died."" So began the matter-of-fact news report last week of what appeared to be just another victim of London's chaotic roads. But this 73-year-old, hit by a double-decker bus on the capital's busiest shopping street, was no ordinary OAP. She was Baroness Marion Lambert, an art collector and philanthropist whose tragic end, four days after the accident, concluded a life story that is as shocking as it is sad. Her death called time on a personal crusade for justice that had consumed her ever since her daughter Philippine killed herself after claiming a family friend raped and sexually abused her as a child. Marion's torment drove her to collect mountains of evidence against Philippine's alleged attacker and even hand out leaflets to a theatre audience telling them of his alleged actions. Philippine was just 20 when she took her own life in 1997. In a note she named millionaire Vincent Meyer, who has links to the Royal Family, as her alleged abuser. She wrote: ""I want Vincent Meyer to pay for having sexually abused me from the age of 12 to 14 and go to jail for the rest of his life."" The last words of her daughter stayed with Marion for almost two decades and she made it her mission to fulfil her final wish. Speaking in 2001, Marion revealed: ""This has wrecked our lives. Totally. That man betrayed everything, loyalty, friendship, hospitality and innocence. 'She loved the attention of a grown-up' ""What people don't realise is that abuse undermines the foundations a child. In my daughter's case, it her life."" s of cost high es at "" The scandal rocked Europe'ssociety, with two banking empires its heart. restiand Meyer, 64, was born into the prestigious Lazard FrÈres dynasty and inherited a fortune that afforded a lifestyle of the super-rich. him when and ding e in He met the Lamberts in 1988, he was in the midst of a divorce, became a trusted friend, spending time with them at their home Geneva, Switzerland. and work, hone He grew close to Philippine would help her with her homework, read poems to her down the phone and dance with her at parties. - a mily was Marion and husband Philippe - a descendent of Belgian banking family Brussels Lambert - believed itinnocent fun. eness ming ghter But it is claimed Meyer's closeness to Philippine was part of a grooming campaign that led to their daughter being abused for three years. ame nd he -Marion, whose own family came from a world of wealth and privilege, recalled: ""She loved the attention of a grown-up, of someone who treated her as special. ""He was a lonely, almost childish man who filled his life with toys, be it women or planes or vintage cars, and he always seemed grateful to be in the middle of our family and social circle."" e."" The alleged abuse is said to have ended when Philippine was 15 after her parents cut ties with Meyer who, according to Marion, was ""always asking for something"", causing them to fall out. ,, Philippine spiralled into a long battle with anorexia and depression. She self-med and attempted to take her life three times. harm own He alleg happ said ho wo sh tHer diary revealed the level of the ged abuse. Writing as if it pened in the third person, she d: ""He undressed her and was olding her naked body when she oke up. She was so terrified when he realised what was happening hat she pretended to be asleep."" A week before her death in August 1997, the heiress decided to take action against Meyer and told her solicitor about the alleged abuse. She also confided in her mum. But unburdening her alleged ordeal was not enough to save her. Two days later she was dead. Determined to get justice, Marion used the family fortune to start the legal proceedings her daughter had longed for and gathered evidence including court reports, expert opinion and books on child grooming. Marion said of her quest for justice: ""It takes character, determination and money. You have to be rich."" Meyer was arrested in Switzerland in December 1997 for rape, sexual misconduct toward a minor and involuntary homicide. He was remanded in custody for three months but released on bail of £2.5million, a Swiss record. He strenuously denied the charges, claiming Philippine's allegations were the fabrication of an emotionally unstable young woman. He admitted having a ""beautiful and affectionate relationship"" with her but insisted it was never sexual. In 2000 the charges were dropped after the Swiss public prosecutor ruled a lack of evidence and that some of the allegations had reached the five-year statute of limitations. The charge of involuntary homicide was not pursued by the Lamberts. The ruling was later upheld by the Swiss court of appeal. 'I would trust Vincent with my life' Meyer went on to marry Elizabeth Stuart, niece of the Earl of Moray. He cemented himself in London high society by becoming president of the London Philharmonia Orchestra, of which Prince Charles is a patron. The Lambert family never came to terms with the fact he had not been tried in court. Philippe, who died in 2011, reportedly attacked Meyer in a Geneva street in 2004. A year later, Marion went so far as to hand out leaflets bearing a reminder of his dark history at a Philharmonia Orchestra concert being held in West London. Yet many in their social circle sided with Meyer and accused the baroness of pursuing a vendetta. One friend said: ""I have known him for 20 years and would trust him with my life."" Meyer refused to comment when contacted by The Sun last night. Marion planned to write a book about her daughter's alleged ordeal. It never came to light. Over the years her fight took a different turn and instead she spent her time raising millions for various charities, including the NSPCC. She gave her support when the charity helped launch a network of special investigation centres to bring paedophiles to justice and help victims. But Philippine's death was never far from her thoughts. She amassed a huge art collection which was ""a way of coming to terms with life"". Last month she featured on the BBC2's The Extraordinary Collector, which focused on the sale of more than 300 pieces from her collection, including works by Andy Warhol. The total lot fetched nearly £15million, with the money earmarked for charity. On the day of her death, the baroness had been on her way to meet her good friend, auctioneer Simon de Pury, to talk about how the art world could help the Syrian refugee crisis. Paying tribute to her, Simon said: ""I don't think anyone can ever get closure on losing a child. She did so much to raise money for the NSPCC and other charities after."" Graphic   TRAUMA ... PhilippineTORMENT ... Marion and, above, accident blackspot where she was hit by busDENIAL ... Vincent Meyer",0
682,src_thesun_raw.docx,The Sun,6/9/2015,722 words,CRAIG WOODHOUSE,We've got four days to save Labour from a decade in wilderness; SUNDAY ISSUE the EX-MINISTER APPEALS FOR VOTES AHEAD OF THURSDAY'S ELECTION,Tabloid,"Says YVETTE COOPER MP and Leadership Candidate EXCLUSIVE By CRAIG WOODHOUSE Political Correspondent SURGING Yvette Cooper today warns Labour members they have four days to save the party from a decade in the electoral wilderness under Jeremy Corbyn. The mum-of-three has issued a lastditch plea for support ahead of Thursday's voting deadline in the race to replace Ed Miliband. Ms Cooper has the vital momentum in the final days of the Labour leadership election after her brave call for Britain to open its arms to more Syrian refugees caught the public mood. It has boosted her chances of stopping socialist firebrand Mr Corbyn from pulling off a shock victory. With up to half of votes believed to be still up for grabs, Ms Cooper set out a stark choice between years of bitter infighting and irrelevance under Mr Corbyn or an immediate plan for a Labour fightback if she wins. In an exclusive interview with The Sun on Sunday, the Shadow Home Secretary said: ""I think part of the reason a lot of people haven't voted until late on is because they really wanted to think about this carefully. ""There are now four days that will decide the next ten years because it will decide how strong we are in opposition. But it will also decide what our chances are of winning the next election. It is a really big choice."" Many Labour moderates are terrified of a Corbyn victory and are already drawing up plans to oppose or oust him. And supporters of the bearded leftie are plotting to kick out Blairite MPs and mount a socialist takeover of the party. Ms Cooper, a former minister who had a front-row seat for the feuding of the Blair-Blairvote Brown years, is worried Labour will be so focused on fighting itself if he wins it will give Cameron's Tory Government a free ride. She said: ""We can't let that happen. I think I would be the strongest person to hold the party together, to have the ideas for the future."" Talking in her House of Commons office, Ms Cooper insists she wants to make a ""positive"" case to win votes. She has four key pledges for her leadership ... l To create two million jobs in sectors such as technology and by doubling investment in science. l To support families by extending free child care and protecting Sure Start centres. l To protect public services such as the police and nursing from cuts. l To boost wages for jobs like social care. 'It's got to be about real hope not false promise' She insists it's a pitch that can win back voters who deserted Gordon Brown or Ed Miliband's Labour to for the Tories, SNP or Ukip - in sharp contrast to the divisive agenda pushed by Mr Corbyn. vote Ms Cooper, 46, said: ""I don't think it's about going back to the 1970s. It's got to be about the future. It has got to be about real hope not false promise."" Ms Cooper has been scathing about Mr Corbyn's ""dodgy economics"", printing money to pay for major projects and vowing to nationalise major industries, and brands the fight to stop him ""a battle for the soul of our party"". It appears to be paying off in her bid to win the Labour crown. Bookies make her second favourite behind Mr Corbyn, ahead of Andy Burnham and Liz Kendall. The daughter of a union official, Ms Cooper was elected in 1997 as Tony Blair swept Labour to power and she believes she has the reach to reunite the party after a bruising contest. That includes the thousands of supporters who have paid £3 membership fees to vote in the contest, many of them Corbyn backers. Asked what would be top of her in-tray if she is leader next Sunday, Ms Cooper replied: ""First thing is to pull the party together again. And that means making the most of the energy - we have got lots of new people joining the party, that is a really good thing."" Criss-crossing the country in the four-month contest has taken its toll on Ms Cooper - and kept her away from a holiday with ex-MP husband Ed Balls and their three children. Whatever the result, Ms Cooper will be dealing with a challenge familiar to every parent after the results are announced on Saturday - getting kids Ellie, 16, Joel, 14 and Maddy, 11, off to school as the new term kicks into full swing. She said: ""That's what keeps your feet on the ground. This is the final weekend of campaigning and I'm thinking both about what meetings we are going to do but also what time does Clarks close to get some school shoes."" Graphic   DOWN NOT OUT... KendallTOUGH TALKER ... Burnham",0
